# schema	clean-evidence-capture-v1
# capturedAt	2026-08-23T02:32:55.2508269+07:00
# sourceRevision	461e3f1d201b7619c81fb9206f6762f5d19a93f7
# gitDirtyAtCapture	false
# runtimeExecuted	true
# runtimeTests	7
# runtimeFailures	0
# runtimeErrors	0
# runtimeSkipped	0
# runtimeSeconds	64.119
gate	status
proof-sync	PASS
machine-contract	PASS
lean-kernel	PASS
machine-mutations	PASS
lean-mutations	PASS
implementation-conformance	PASS
real-neo4j-runtime	PASS
property-runtime-matrix	PASS
path	commitBlob	worktreeBlob	blobMatch	sha256Utf8Lf
md/research/formal-theorems-and-proofs.md	9b47c857ba8a1aa963809165dec5e3e52c7f321d	9b47c857ba8a1aa963809165dec5e3e52c7f321d	true	91b659786229fcc98a0bbda1d91fbfd8312e5a807710f17d13128ecaedc5d15f
md/research/Plan/planCypher.md	26ecf91c03ef685a8a4377bc8612eda6dbd5afa6	26ecf91c03ef685a8a4377bc8612eda6dbd5afa6	true	70048acc5507a529876d8aa568752d3dd190a360445a7960b2db9dad8a45da27
verification/contract/proof-contract-registry.json	389a73f6b1158ce1c2d6d17e2e8bebeba7b55ee7	389a73f6b1158ce1c2d6d17e2e8bebeba7b55ee7	true	c95ea99343b07b642b939aaaf648d24e99a0abd02c58df5f0f982237c25bba20
verification/lean/Ocl2CypherProof.lean	5950627e3fb9bc5f6bd2855d691b2e36a4b15130	5950627e3fb9bc5f6bd2855d691b2e36a4b15130	true	a78557c025003ad03aa858812d169972ec5d5777d6a60a5c73658cb6a6d02d37
md/research/check-proof-sync.ps1	2bce6cd625fa6690c1a4585e63fbf181b84bbc85	2bce6cd625fa6690c1a4585e63fbf181b84bbc85	true	cd2be23fb60dffc6fa108592687ffc863e629fd242fba0f9a21431e605b303cd
verification/scripts/check-verification-contract.ps1	be326b336a74167016d7d6949b2051d2b996724b	be326b336a74167016d7d6949b2051d2b996724b	true	b7770d5d917ef0af0f16e4c20e6e63c88930f959324a8bdf8cf9bb45f3183ab4
verification/scripts/check-mechanized-proof.ps1	6510e034c0e2c5bd4167bd9f2ea0ddbe8f8a01a3	6510e034c0e2c5bd4167bd9f2ea0ddbe8f8a01a3	true	cf1349b3cacccc0de84a7a2c86c03fba8326af6fa5a97eac1710c08c16766e1b
verification/scripts/check-mechanized-proof-mutations.ps1	b9ae2cd3b23b0c40b6eb54e53f36693c17503c1d	b9ae2cd3b23b0c40b6eb54e53f36693c17503c1d	true	4889e929768203e72b265b6634f6830da82aecd5f23a48a38313fe12d5a4dde3
verification/scripts/check-implementation-conformance.ps1	a61fa575623cd665d77ab481030887471ce9c2d1	a61fa575623cd665d77ab481030887471ce9c2d1	true	1e8cc2d179599818b0c194af06ebc64a4bce500cb0ed1f690c5bad6c16b2e0bf
verification/scripts/invoke-clean-evidence-capture.ps1	07d88934450b207ad8e9c403bf19c2b67627d707	07d88934450b207ad8e9c403bf19c2b67627d707	true	f75ac683d42aa41b0a867721fee92e35d493e8a481079903777eeb07a2da6ef5
